,artist_id,MBID,artist_name,encoded_artist_id
99,109097,4279aba0-1bde-40a9-8fb2-c63d165dc554,Delerium,553
178,66552,,Camille Saint-Saëns,378
260,396749,,W & Whale,1754
329,229444,,M. Jackson & Minnie Ripperton,1113
367,26802,,Antonio Carlos Jobim & Vinicius De Moraes,128
369,166755,,Gioacchio Rossini,828
449,260550,8aafd46e-f5d3-4923-8da1-43c0a296947f,OneRepublic & Alesso,1246
492,139758,35ef61ca-43db-4772-ba27-0489e9ebcb69,Emmylou Harris & Neil Young,699
496,312689,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,Selena Gomez & Selena,1472
534,447098,,Kanye West & Fall Out Boy,1914
558,439370,55c2c5e8-da10-4600-917d-10916661de8f,iKE,1883
560,37589,24f1766e-9635-4d58-a4d4-9413f9f98a4c,J.S. Bach,187
563,386585,3fef3bbc-53eb-46f8-8679-980d0c943c34,U.D.O.,1727
567,375225,daa09819-5da5-4c7a-8bef-eb372bb27ff1,Timbaland Feat. Chad Kroeger & Sebastian,1686
573,225897,a9044915-8be3-4c7e-b11f-9e2d2ea0a91e,Megadeath,1093
611,287944,da7bb7d8-557d-4635-9ca1-e6e985525bd5,Randy Newman,1372
728,278529,9e0e2b01-41db-4008-bd8b-988977d6019a,The Police,1337
769,31356,01809552-4f87-45b0-afff-2c6f0730a3be,Artie Glenn/Elvis Presley,155
818,264431,2fa478b1-dee0-428c-8e18-8b0b6608b2dd,Oval,1264
865,345237,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,1604
875,192147,,ZHU x LANA DEL REY,949
939,53135,3eab4de9-a578-4327-8909-f90ffc1b8ae5,Blumentopf,287
956,171934,040859d2-b12c-4124-aadb-5d62f16bb3e9,Gregory Isaacs,856
983,66607,0392e8fe-f3c5-42e8-9664-1729a5ba52f6,Camouflage,380
1092,201630,cd645207-1664-46af-9953-264e9ae54089,Lisa Gerrard & Marcello De Francisci,989
1131,21314,5b687684-ad34-4a9f-b425-0e7aa81fbd38,Amon Amarth & Amon Amarth,98
1147,49737,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Björk & Tom York,266
1155,75306,1d18e4c5-28c2-4721-a364-cb99b4358102,Ella Fitzgerald & Joe Pass,429
1277,200903,019eca5f-b771-45a7-975f-d4cd3c32bc29,Linda Ronstadt & Nelson Riddle and His Orchestra,983
1285,142862,3ab7295a-54ac-40e8-b1b2-3d110a143550,Eros Ramazzotti & Patsy Kensit,717
1300,55205,,Bones & Grandmilly,303
1328,227,1bb1eec6-88c3-4028-8920-a985c4b9081a,David Guetta Feat. Akon,2
1406,456239,b625448e-bf4a-41c3-a421-72ad46cdb831,John Coltrane & Wilbur Harden,1956
1506,157361,59ae7a1a-f454-435b-8a5a-e327e692bb5a,Freddie Hubbard & Woody Shaw,780
1519,444743,6456a893-c1e9-4e3d-86f7-0008b0a3ac8a,Jack Johnson & Ben Harper,1903
1564,60368,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Bruno Mars,341
1568,198399,4ad7d77e-9abb-4976-a036-8ee021f5a471,"Lester Young & Harry ""Sweets"" Edison",973
1642,174351,8d610e51-64b4-4654-b8df-064b0fb7a9d9,Gustav Mahler,870
1819,321978,16a43d5e-c52d-4eaa-9c3b-00b2c1d8e816,Skillet,1505
1823,163824,,GZA & Ras Kass,809
1882,3452,382f1005-e9ab-4684-afd4-0bdae4ee37f2,Tu Pac,9
2011,273986,401c3991-b76b-499d-8082-9f2df958ef78,Phil Collins & Genesis,1317
2048,465706,3313f634-1405-481c-ada7-aef1980ac961,Kara,1991
2078,40736,0dbd6300-efdc-420b-857e-895e18fad317,Count Basie & Sarah Vaughan With Joe Williams,202
2092,37589,,Johann Sebastian Bach & Virgil Fox,187
2136,297979,6605c2c6-f115-486c-8b1a-b786882de463,Robin Trower & Michael Schenker,1409
2167,125614,94dbfe2e-ca48-4e08-a5a8-e1e74136c63d,Method Man & Snoop Dogg & Redman,633
2188,48127,d59c4cda-11d9-48db-8bfe-b557ee602aed,Billie Holiday with Teddy Wilson & His Orchestra,255
2316,413442,0cee95e3-a61d-4cd1-a39c-75464a05b606,Corey Harris/Easy Star All-Stars/Ranking Joe,1816
2363,30078,9be897fc-6267-45ef-a745-22414d2fad3b,Arkona,148
2380,48929,197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra & Dean Martin,262
2387,146749,d2299099-e617-46dd-b013-ba0b4c72bc63,Fabolous ft P Diddy & Jagged Edge,726
2446,334995,8347dd6d-b9a2-4e96-a610-d1ed67b189f1,Steve Roach & Vidna Obmana,1562
2448,273129,af18a9bc-e4ab-4068-9489-b64e8186fcf1,Pete Seeger & Tao Rodriguez-Seeger,1312
2493,218992,,Markus Schulz & Venom One feat. Chris Madin,1059
2504,245715,5e9c618a-437d-4cca-9957-4a33cba93da2,Nas & Damian Marley Feat. K'naan,1179
2578,265584,10773be7-bba8-44c5-9aec-b01a10b6d75f,Pain & Prodigy,1270
2595,268213,7daac7f9-8fcc-485f-a14f-f8091d98cf25,Pat Metheny & Dave Holland & Roy Haynes,1280
2785,301606,,Royal Philharmonic Orchestra & Christian Rainer,1425
2797,253900,4183269d-fa1a-420d-843b-e93c1f4ae435,Noisia & The Upbeats,1224
3067,256976,,Sinead O Conner,1232
3144,311434,,Sean Paul & Capleton & Elephant Man,1467
3215,413961,5f3b32e5-efb5-4096-9260-587c155e50b7,Cosmic Gate & Cary Brothers,1818
3227,276601,49855822-68b4-4dff-aec7-642546611518,The Sex Pistols,1328
3380,448275,4326af3f-b9b9-487c-898a-7de2fc7295f2,Jay Dee feat. Frank&Dank,1921
3460,44153,1582a5b8-538e-45e7-9ae4-4099439a0e79,Ben Harper,228
3473,259339,,oliver koletzki & florian meindl,1238
3543,273654,149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams & Alicia Keys,1316
3572,323938,,Sly & Robbie Reggae Icons,1517
3603,8323,acc12019-10e3-40aa-b4bf-66fbb4a692af,Ab-Soul,32
3690,30345,3349c8d2-81c3-4dd2-9495-4290c9e5c7e3,Armin Van Buuren feat. Richard Bedford,150
3692,44964,333a5e51-0f87-485e-814f-51f4abe8acda,"Ben Webster & Harry ""Sweets"" Edison",233
3707,173681,6c85f4c3-026c-4c16-9a7c-f546f42ed0fb,Guided by Voices,865
3779,61781,,Enrique Bunbury & Andres Calamaro,352
3788,286875,1e76d891-8634-4b08-999e-69042304b89c,Rainbow,1368
3937,118818,cf119120-7df5-47d7-9dec-49f8837a4e40,DNA feat Suzanne Vega,607
4107,31464,070d193a-845c-479f-980e-bef15710653e,Prince & The Lovesexy Band,157
4160,3452,,2Pac & Coldplay,9
4203,75306,1d18e4c5-28c2-4721-a364-cb99b4358102,Ella Fitzgerald & Ellis Larkins,429
4258,62444,,Busta Rhymes & Blackeyed Peas,359
4504,30193,,Armand Amar & Gombodorj Byambajargal,149
4542,74986,1ba1d493-7114-45e2-b163-a36d49a0c065,Chet Baker & Art Pepper,425
4576,40097,8ddf3da1-dfa9-490a-93cc-7d4072319995,Barrington Levy & Beenie Man,199
4602,76474,90cf9335-6b89-41d6-80e6-513c24e6fd3e,Frederic Chopin & André Laplante,438
4622,223368,92e634a7-6023-4be8-be15-ebba822f5b34,Maxïmo Park,1077
4788,41687,,BB King & Friends,212
4820,218539,a9126556-f555-4920-9617-6e013f8228a7,Mark Lanegan,1057
4825,172499,666fd16d-d9f9-4eff-80ed-a064d5bbca7c,Grobschnitt,859
5003,226906,9ccfbc94-a4f4-42f7-b6f5-d903ab77cccb,Melvins,1096
5035,38244,062bf70c-9245-4041-b47c-29e55a3b99ab,Joan Baez & Woody Guthrie & Leadbelly & Pete Seeger,194
5060,161543,ab91c554-63b8-44b3-bba7-042f2942c896,Game,799
5246,303106,059afdf5-77e8-4e51-90f5-453b623232ec,Rush,1432
5296,203537,21c9a672-748c-4a16-9763-5c8303a7a583,Louis Armstrong & Frank Sinatra,994
5330,56683,5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie & Marianne Faithfull,316
5338,325895,1302c7ad-e6b5-433c-b172-0debf9f82d68,Solarstone,1528
